sim_num_insn,136183
sim_num_refs,53641
sim_elapsed_time,1
sim_inst_rate,136183.0000
sim_num_branches,30740
sim_IPB,4.4302
lookups,30740
updates,30740
jr_seen,49
ras_rate.PP,0.9796
Mode\Attr,addr_hits,dir_hits,misses,bpred_addr_rate,bpred_dir_rate,retstack_pushes,retstack_pops,used_ras.PP,ras_hits.PP
taken,25618,25618,5122,0.8334,0.8334,0,0,0,0
nottaken,15237,15237,15503,0.4957,0.4957,0,0,0,0
bimod_2,25533,25621,5119,0.8306,0.8335,51,49,49,48
bimod_4,25523,25609,5131,0.8303,0.8331,51,49,49,48
bimod_8,25542,25626,5114,0.8309,0.8336,51,49,49,48
bimod_16,25545,25632,5108,0.8310,0.8338,51,49,49,48
bimod_32,25559,25643,5097,0.8315,0.8342,51,49,49,48
bimod_64,25560,25642,5098,0.8315,0.8342,51,49,49,48
bimod_128,25567,25649,5091,0.8317,0.8344,51,49,49,48
bimod_256,25563,25644,5096,0.8316,0.8342,51,49,49,48
bimod_512,20575,20657,10083,0.6693,0.6720,51,49,49,48
bimod_1024,20580,20662,10078,0.6695,0.6722,51,49,49,48
bimod_2048,20581,20660,10080,0.6695,0.6721,51,49,49,48
bimod_4096,20581,20660,10080,0.6695,0.6721,51,49,49,48
2lev_1_4_1_0,25525,25617,5123,0.8304,0.8333,51,49,49,48
2lev_1_8_2_0,25526,25612,5128,0.8304,0.8332,51,49,49,48
2lev_1_16_3_0,30541,30622,118,0.9935,0.9962,51,49,49,48
2lev_1_32_4_0,30548,30636,104,0.9938,0.9966,51,49,49,48
2lev_1_64_5_0,30551,30631,109,0.9939,0.9965,51,49,49,48
2lev_1_128_6_0,30550,30629,111,0.9938,0.9964,51,49,49,48
2lev_1_256_7_0,30546,30625,115,0.9937,0.9963,51,49,49,48
2lev_1_512_8_0,30538,30617,123,0.9934,0.9960,51,49,49,48
2lev_2_8_1_0,25532,25617,5123,0.8306,0.8333,51,49,49,48
2lev_2_16_2_0,25526,25620,5120,0.8304,0.8334,51,49,49,48
2lev_2_32_3_0,30547,30631,109,0.9937,0.9965,51,49,49,48
2lev_2_64_4_0,30549,30630,110,0.9938,0.9964,51,49,49,48
2lev_2_128_5_0,30550,30631,109,0.9938,0.9965,51,49,49,48
2lev_2_256_6_0,30545,30626,114,0.9937,0.9963,51,49,49,48
2lev_2_512_7_0,30537,30618,122,0.9934,0.9960,51,49,49,48
2lev_2_1024_8_0,30537,30618,122,0.9934,0.9960,51,49,49,48
2lev_4_32_1_0,25547,25628,5112,0.8311,0.8337,51,49,49,48
2lev_4_64_2_0,30550,30628,112,0.9938,0.9964,51,49,49,48
2lev_4_128_3_0,30542,30617,123,0.9936,0.9960,51,49,49,48
2lev_4_256_4_0,30539,30617,123,0.9935,0.9960,51,49,49,48
2lev_4_512_5_0,30538,30620,120,0.9934,0.9961,51,49,49,48
2lev_4_1024_6_0,30534,30614,126,0.9933,0.9959,51,49,49,48
2lev_4_2048_7_0,30526,30606,134,0.9930,0.9956,51,49,49,48
2lev_4_4096_8_0,30528,30610,130,0.9931,0.9958,51,49,49,48
2lev_8_512_1_0,30557,30634,106,0.9940,0.9966,51,49,49,48
2lev_8_1024_2_0,30557,30634,106,0.9940,0.9966,51,49,49,48
2lev_8_2048_3_0,30550,30629,111,0.9938,0.9964,51,49,49,48
2lev_8_4096_4_0,30548,30628,112,0.9938,0.9964,51,49,49,48
2lev_8_8192_5_0,30543,30622,118,0.9936,0.9962,51,49,49,48
2lev_8_16384_6_0,30539,30618,122,0.9935,0.9960,51,49,49,48
2lev_8_32768_7_0,30540,30620,120,0.9935,0.9961,51,49,49,48
2lev_8_65536_8_0,30537,30617,123,0.9934,0.9960,51,49,49,48
2lev_1_4_1_1,25526,25618,5122,0.8304,0.8334,51,49,49,48
2lev_1_8_2_1,25532,25620,5120,0.8306,0.8334,51,49,49,48
2lev_1_16_3_1,25540,25620,5120,0.8308,0.8334,51,49,49,48
2lev_1_32_4_1,30546,30629,111,0.9937,0.9964,51,49,49,48
2lev_1_64_5_1,30553,30633,107,0.9939,0.9965,51,49,49,48
2lev_1_128_6_1,30549,30633,107,0.9938,0.9965,51,49,49,48
2lev_1_256_7_1,30549,30630,110,0.9938,0.9964,51,49,49,48
2lev_1_512_8_1,30542,30625,115,0.9936,0.9963,51,49,49,48
2lev_2_8_1_1,25536,25619,5121,0.8307,0.8334,51,49,49,48
2lev_2_16_2_1,25533,25624,5116,0.8306,0.8336,51,49,49,48
2lev_2_32_3_1,25547,25631,5109,0.8311,0.8338,51,49,49,48
2lev_2_64_4_1,30543,30629,111,0.9936,0.9964,51,49,49,48
2lev_2_128_5_1,30547,30627,113,0.9937,0.9963,51,49,49,48
2lev_2_256_6_1,30547,30633,107,0.9937,0.9965,51,49,49,48
2lev_2_512_7_1,30543,30626,114,0.9936,0.9963,51,49,49,48
2lev_2_1024_8_1,30537,30618,122,0.9934,0.9960,51,49,49,48
2lev_4_32_1_1,25548,25625,5115,0.8311,0.8336,51,49,49,48
2lev_4_64_2_1,30551,30629,111,0.9939,0.9964,51,49,49,48
2lev_4_128_3_1,30540,30615,125,0.9935,0.9959,51,49,49,48
2lev_4_256_4_1,30537,30612,128,0.9934,0.9958,51,49,49,48
2lev_4_512_5_1,30537,30617,123,0.9934,0.9960,51,49,49,48
2lev_4_1024_6_1,30537,30617,123,0.9934,0.9960,51,49,49,48
2lev_4_2048_7_1,30531,30610,130,0.9932,0.9958,51,49,49,48
2lev_4_4096_8_1,30529,30608,132,0.9931,0.9957,51,49,49,48
2lev_8_512_1_1,30561,30643,97,0.9942,0.9968,51,49,49,48
2lev_8_1024_2_1,30558,30637,103,0.9941,0.9966,51,49,49,48
2lev_8_2048_3_1,30549,30630,110,0.9938,0.9964,51,49,49,48
2lev_8_4096_4_1,30546,30629,111,0.9937,0.9964,51,49,49,48
2lev_8_8192_5_1,30543,30626,114,0.9936,0.9963,51,49,49,48
2lev_8_16384_6_1,30539,30622,118,0.9935,0.9962,51,49,49,48
2lev_8_32768_7_1,30537,30621,119,0.9934,0.9961,51,49,49,48
2lev_8_65536_8_1,30533,30617,123,0.9933,0.9960,51,49,49,48
